Run Date,Symbol,Company,Sector,Industry,Total Score,Tech Score,Fund Score,Grade,Flags,Close (₹),Day Change %,EMA 20,EMA 50,EMA 200,EMA Stack ✓,Supertrend,% from 52W High,RSI (14),MACD,MACD Signal,MACD Histogram,MACD Cross ✓,ADX,Volume,20D Avg Volume,Volume Ratio,Market Cap (Cr),P/E Ratio,Forward P/E,ROE %,Debt/Equity,Revenue Growth %,Earnings Growth %,Price/Book,Dividend Yield %,Current Ratio,Screener Link,TradingView Link
2026-05-22,MANAPPURAM,Manappuram Finance Limited,Financial Services,Credit Services,61.4,45.0,16.4,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,322.4,1.02,303.96,291.94,280.07,✓,Buy,99.37,67.07,9.9037,9.3342,0.5695,,24.79,7531083,4640929,1.62,30444.0,27.700855,11.036321,6.97,360.191,109.3,,1.6903098,62.0,94.116,https://www.screener.in/company/MANAPPURAM/,https://www.tradingview.com/chart/?symbol=NSE:MANAPPURAM
2026-05-22,SYRMA,Syrma SGS Technology Limited,Technology,Electronic Components,58.4,40.0,18.4,C,📈 EMA Bull Stack,1024.65,2.06,1005.12,939.19,802.56,✓,Sell,86.25,56.54,26.4053,39.2697,-12.8644,,36.43,1700509,1766545,0.96,20011.0,61.434063,36.52029,14.14,13.045,58.4,43.7,6.8872356,15.0,1.7,https://www.screener.in/company/SYRMA/,https://www.tradingview.com/chart/?symbol=NSE:SYRMA
2026-05-22,ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,57.8,42.0,15.8,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,295.85,-0.82,292.49,284.49,258.97,✓,Buy,96.21,56.04,3.6242,3.434,0.1902,,26.84,14084672,17739652,0.79,364828.0,9.589947,6.8484125,,43.805,0.8,16.2,0.99115145,625.0,,https://www.screener.in/company/ONGC/,https://www.tradingview.com/chart/?symbol=NSE:ONGC
2026-05-22,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,57.8,33.0,24.8,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,1793.3,1.17,1713.46,1612.96,1481.48,✓,Buy,98.32,66.78,65.0986,68.1972,-3.0985,,29.96,1628329,3351371,0.49,411694.0,30.660604,23.039103,15.59,64.051,26.5,3.6,4.282554,42.0,1.394,https://www.screener.in/company/ADANIPORTS/,https://www.tradingview.com/chart/?symbol=NSE:ADANIPORTS
2026-05-22,SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,57.0,42.0,15.0,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,1891.3,0.59,1832.77,1784.7,1727.92,✓,Buy,98.68,64.0,40.7978,36.1909,4.6069,,28.89,1605806,5244498,0.31,442581.0,40.4695,28.308376,,6.675,13.5,15.7,5.685103,87.0,,https://www.screener.in/company/SUNPHARMA/,https://www.tradingview.com/chart/?symbol=NSE:SUNPHARMA
2026-05-22,AVALON,Avalon Technologies Limited,Technology,Electronic Components,54.4,36.0,18.4,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,1461.8,-0.18,1261.74,1138.5,1000.81,✓,Buy,96.66,74.26,97.3484,79.27,18.0784,,35.79,695194,890863,0.78,9838.0,87.62642,45.035072,16.94,29.503,40.0,69.0,15.092523,0.0,2.052,https://www.screener.in/company/AVALON/,https://www.tradingview.com/chart/?symbol=NSE:AVALON
2026-05-22,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,53.8,42.0,11.8,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,4469.2,0.9,4345.95,4259.02,3932.97,✓,Buy,98.11,61.21,66.7643,55.447,11.3172,,24.61,245755,271204,0.91,151833.0,66.91826,69.271034,,33.4,17.6,26.1,17.98314,78.0,,https://www.screener.in/company/TORNTPHARM/,https://www.tradingview.com/chart/?symbol=NSE:TORNTPHARM
2026-05-22,RBLBANK,RBL Bank Limited,Financial Services,Banks - Regional,53.2,27.0,26.2,C,✅ Supertrend Buy | 📈 EMA Bull Stack,328.75,0.08,328.72,321.71,295.13,✓,Buy,93.96,51.31,2.9374,4.648,-1.7106,,18.76,2458845,6409024,0.38,20686.0,23.712767,17.617908,,,40.8,367.9,1.2357199,33.0,,https://www.screener.in/company/RBLBANK/,https://www.tradingview.com/chart/?symbol=NSE:RBLBANK
2026-05-22,ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing,53.0,36.0,17.0,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,490.15,0.55,438.07,403.11,355.97,✓,Buy,98.28,80.68,26.9822,21.0034,5.9789,,45.03,958244,1503564,0.64,12591.0,30.440432,18.035673,10.66,40.071,15.9,5.9,3.109766,77.0,1.141,https://www.screener.in/company/ARVIND/,https://www.tradingview.com/chart/?symbol=NSE:ARVIND
2026-05-22,IDEAFORGE,ideaForge Technology Limited,Technology,Computer Hardware,52.4,40.0,12.4,C,✅ Supertrend Buy | 📈 EMA Bull Stack,739.0,-1.9,716.74,604.59,498.97,✓,Buy,83.22,57.69,71.4462,81.868,-10.4218,,42.56,276663,2822101,0.1,3367.0,,27.811829,-2.82,13.974,594.4,,5.663993,0.0,2.622,https://www.screener.in/company/IDEAFORGE/,https://www.tradingview.com/chart/?symbol=NSE:IDEAFORGE
